"Leading Cancer Sites"	"Leading Cancer Sites Code"	"Year"	"Year Code"	Deaths
"All Sites Combined"	"00"	"1999"	"1999"	549829
"All Sites Combined"	"00"	"2000"	"2000"	553080
"All Sites Combined"	"00"	"2001"	"2001"	553760
"All Sites Combined"	"00"	"2002"	"2002"	557264
"All Sites Combined"	"00"	"2003"	"2003"	556890
"All Sites Combined"	"00"	"2004"	"2004"	553880
"All Sites Combined"	"00"	"2005"	"2005"	559303
"All Sites Combined"	"00"	"2006"	"2006"	559880
"All Sites Combined"	"00"	"2007"	"2007"	562867
"All Sites Combined"	"00"	"2008"	"2008"	565460
"All Sites Combined"	"00"	"2009"	"2009"	567614
"All Sites Combined"	"00"	"2010"	"2010"	574738
"All Sites Combined"	"00"	"2011"	"2011"	576685
"Brain and Other Nervous System"	"31010-31040"	"1999"	"1999"	12765
"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	12655
"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	12609
"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	12830
"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	12901
"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	12829
"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	13152
"Brain and Other Nervous System"	"31010-31040"	"2006"	"2006"	12886
"Brain and Other Nervous System"	"31010-31040"	"2007"	"2007"	13234
"Brain and Other Nervous System"	"31010-31040"	"2008"	"2008"	13724
"Brain and Other Nervous System"	"31010-31040"	"2009"	"2009"	14176
"Brain and Other Nervous System"	"31010-31040"	"2010"	"2010"	14164
"Brain and Other Nervous System"	"31010-31040"	"2011"	"2011"	14491
"Breast"	"26000"	"1999"	"1999"	41528
"Breast"	"26000"	"2000"	"2000"	42300
"Breast"	"26000"	"2001"	"2001"	41809
"Breast"	"26000"	"2002"	"2002"	41883
"Breast"	"26000"	"2003"	"2003"	41998
"Breast"	"26000"	"2004"	"2004"	41316
"Breast"	"26000"	"2005"	"2005"	41491
