"Leading Cancer Sites"	"Leading Cancer Sites Code"	"Year"	"Year Code"	Count
"All Sites Combined"	"00"	"1999"	"1999"	1211413
"All Sites Combined"	"00"	"2000"	"2000"	1262359
"All Sites Combined"	"00"	"2001"	"2001"	1288406
"All Sites Combined"	"00"	"2002"	"2002"	1317088
"All Sites Combined"	"00"	"2003"	"2003"	1374730
"All Sites Combined"	"00"	"2004"	"2004"	1422080
"All Sites Combined"	"00"	"2005"	"2005"	1447722
"All Sites Combined"	"00"	"2006"	"2006"	1481881
"All Sites Combined"	"00"	"2007"	"2007"	1523956
"All Sites Combined"	"00"	"2008"	"2008"	1540677
"All Sites Combined"	"00"	"2009"	"2009"	1551942
"All Sites Combined"	"00"	"2010"	"2010"	1534664
"All Sites Combined"	"00"	"2011"	"2011"	1532066
"Brain and Other Nervous System"	"31010-31040"	"1999"	"1999"	17359
"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	17979
"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	17748
"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	18495
"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	19437
"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	20427
"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	20473
"Brain and Other Nervous System"	"31010-31040"	"2006"	"2006"	20701
"Brain and Other Nervous System"	"31010-31040"	"2007"	"2007"	21110
"Brain and Other Nervous System"	"31010-31040"	"2008"	"2008"	21456
"Brain and Other Nervous System"	"31010-31040"	"2009"	"2009"	21577
"Brain and Other Nervous System"	"31010-31040"	"2010"	"2010"	21341
"Brain and Other Nervous System"	"31010-31040"	"2011"	"2011"	21084
"Breast"	"26000"	"1999"	"1999"	185254
"Breast"	"26000"	"2000"	"2000"	189083
"Breast"	"26000"	"2001"	"2001"	189070
"Breast"	"26000"	"2002"	"2002"	190310
"Breast"	"26000"	"2003"	"2003"	192597
"Breast"	"26000"	"2004"	"2004"	197386
"Breast"	"26000"	"2005"	"2005"	200197
"Breast"	"26000"	"2006"	"2006"	204729
"Breast"	"26000"	"2007"	"2007"	210993
"Breast"	"26000"	"2008"	"2008"	216427
"Breast"	"26000"	"2009"	"2009"	221612
"Breast"	"26000"	"2010"	"2010"	217652
"Breast"	"26000"	"2011"	"2011"	222175
"Cervix Uteri"	"27010"	"1999"	"1999"	12782
"Cervix Uteri"	"27010"	"2000"	"2000"	13144
"Cervix Uteri"	"27010"	"2001"	"2001"	12462
"Cervix Uteri"	"27010"	"2002"	"2002"	12199
"Cervix Uteri"	"27010"	"2003"	"2003"	12420
"Cervix Uteri"	"27010"	"2004"	"2004"	12463
"Cervix Uteri"	"27010"	"2005"	"2005"	12755
"Cervix Uteri"	"27010"	"2006"	"2006"	12666
"Cervix Uteri"	"27010"	"2007"	"2007"	12652
"Cervix Uteri"	"27010"	"2008"	"2008"	12651
"Cervix Uteri"	"27010"	"2009"	"2009"	12803
"Cervix Uteri"	"27010"	"2010"	"2010"	12357
"Cervix Uteri"	"27010"	"2011"	"2011"	12109
"Colon and Rectum"	"21041-21052"	"1999"	"1999"	140888
"Colon and Rectum"	"21041-21052"	"2000"	"2000"	145413
"Colon and Rectum"	"21041-21052"	"2001"	"2001"	143642
"Colon and Rectum"	"21041-21052"	"2002"	"2002"	144312
"Colon and Rectum"	"21041-21052"	"2003"	"2003"	150600
"Colon and Rectum"	"21041-21052"	"2004"	"2004"	151659
"Colon and Rectum"	"21041-21052"	"2005"	"2005"	150306
"Colon and Rectum"	"21041-21052"	"2006"	"2006"	148376
"Colon and Rectum"	"21041-21052"	"2007"	"2007"	147689
"Colon and Rectum"	"21041-21052"	"2008"	"2008"	146607
"Colon and Rectum"	"21041-21052"	"2009"	"2009"	142349
"Colon and Rectum"	"21041-21052"	"2010"	"2010"	137834
"Colon and Rectum"	"21041-21052"	"2011"	"2011"	135260
"Corpus Uteri"	"27020"	"1999"	"1999"	31982
"Corpus Uteri"	"27020"	"2000"	"2000"	32639
"Corpus Uteri"	"27020"	"2001"	"2001"	33657
"Corpus Uteri"	"27020"	"2002"	"2002"	34300
"Corpus Uteri"	"27020"	"2003"	"2003"	35162
"Corpus Uteri"	"27020"	"2004"	"2004"	37292
"Corpus Uteri"	"27020"	"2005"	"2005"	38419
"Corpus Uteri"	"27020"	"2006"	"2006"	39517
"Corpus Uteri"	"27020"	"2007"	"2007"	40938
"Corpus Uteri"	"27020"	"2008"	"2008"	42454
"Corpus Uteri"	"27020"	"2009"	"2009"	44246
"Corpus Uteri"	"27020"	"2010"	"2010"	45116
"Corpus Uteri"	"27020"	"2011"	"2011"	45994
"Esophagus"	"21010"	"1999"	"1999"	12532
"Esophagus"	"21010"	"2000"	"2000"	13051
"Esophagus"	"21010"	"2001"	"2001"	13031
"Esophagus"	"21010"	"2002"	"2002"	13260
"Esophagus"	"21010"	"2003"	"2003"	14419
"Esophagus"	"21010"	"2004"	"2004"	15299
"Esophagus"	"21010"	"2005"	"2005"	15228
"Esophagus"	"21010"	"2006"	"2006"	15664
"Esophagus"	"21010"	"2007"	"2007"	15706
"Esophagus"	"21010"	"2008"	"2008"	16299
"Esophagus"	"21010"	"2009"	"2009"	16487
"Esophagus"	"21010"	"2010"	"2010"	15813
"Esophagus"	"21010"	"2011"	"2011"	15914
"Gallbladder"	"21080"	"1999"	"1999"	3066
"Gallbladder"	"21080"	"2000"	"2000"	3013
"Gallbladder"	"21080"	"2001"	"2001"	3130
"Gallbladder"	"21080"	"2002"	"2002"	3006
"Gallbladder"	"21080"	"2003"	"2003"	3276
"Gallbladder"	"21080"	"2004"	"2004"	3349
"Gallbladder"	"21080"	"2005"	"2005"	3441
"Gallbladder"	"21080"	"2006"	"2006"	3497
"Gallbladder"	"21080"	"2007"	"2007"	3541
"Gallbladder"	"21080"	"2008"	"2008"	3559
"Gallbladder"	"21080"	"2009"	"2009"	3778
"Gallbladder"	"21080"	"2010"	"2010"	3770
"Gallbladder"	"21080"	"2011"	"2011"	3778
"Kidney and Renal Pelvis"	"29020"	"1999"	"1999"	30669
"Kidney and Renal Pelvis"	"29020"	"2000"	"2000"	33122
"Kidney and Renal Pelvis"	"29020"	"2001"	"2001"	34846
"Kidney and Renal Pelvis"	"29020"	"2002"	"2002"	36943
"Kidney and Renal Pelvis"	"29020"	"2003"	"2003"	40878
"Kidney and Renal Pelvis"	"29020"	"2004"	"2004"	43858
"Kidney and Renal Pelvis"	"29020"	"2005"	"2005"	46126
"Kidney and Renal Pelvis"	"29020"	"2006"	"2006"	48549
"Kidney and Renal Pelvis"	"29020"	"2007"	"2007"	50461
"Kidney and Renal Pelvis"	"29020"	"2008"	"2008"	52345
"Kidney and Renal Pelvis"	"29020"	"2009"	"2009"	53210
"Kidney and Renal Pelvis"	"29020"	"2010"	"2010"	52712
"Kidney and Renal Pelvis"	"29020"	"2011"	"2011"	53185
"Larynx"	"22020"	"1999"	"1999"	11511
"Larynx"	"22020"	"2000"	"2000"	11668
"Larynx"	"22020"	"2001"	"2001"	11390
"Larynx"	"22020"	"2002"	"2002"	11201
"Larynx"	"22020"	"2003"	"2003"	11944
"Larynx"	"22020"	"2004"	"2004"	12562
"Larynx"	"22020"	"2005"	"2005"	12488
"Larynx"	"22020"	"2006"	"2006"	12525
"Larynx"	"22020"	"2007"	"2007"	12583
"Larynx"	"22020"	"2008"	"2008"	12536
"Larynx"	"22020"	"2009"	"2009"	12604
"Larynx"	"22020"	"2010"	"2010"	12688
"Larynx"	"22020"	"2011"	"2011"	12253
"Leukemias"	"35011-35043"	"1999"	"1999"	32265
"Leukemias"	"35011-35043"	"2000"	"2000"	34754
"Leukemias"	"35011-35043"	"2001"	"2001"	35404
"Leukemias"	"35011-35043"	"2002"	"2002"	35034
"Leukemias"	"35011-35043"	"2003"	"2003"	37731
"Leukemias"	"35011-35043"	"2004"	"2004"	39075
"Leukemias"	"35011-35043"	"2005"	"2005"	39091
"Leukemias"	"35011-35043"	"2006"	"2006"	40062
"Leukemias"	"35011-35043"	"2007"	"2007"	40200
"Leukemias"	"35011-35043"	"2008"	"2008"	40843
"Leukemias"	"35011-35043"	"2009"	"2009"	41542
"Leukemias"	"35011-35043"	"2010"	"2010"	43252
"Leukemias"	"35011-35043"	"2011"	"2011"	42836
"Liver"	"21071"	"1999"	"1999"	10381
"Liver"	"21071"	"2000"	"2000"	11465
"Liver"	"21071"	"2001"	"2001"	12016
"Liver"	"21071"	"2002"	"2002"	13096
"Liver"	"21071"	"2003"	"2003"	14489
"Liver"	"21071"	"2004"	"2004"	15891
"Liver"	"21071"	"2005"	"2005"	16881
"Liver"	"21071"	"2006"	"2006"	17991
"Liver"	"21071"	"2007"	"2007"	19541
"Liver"	"21071"	"2008"	"2008"	20639
"Liver"	"21071"	"2009"	"2009"	22433
"Liver"	"21071"	"2010"	"2010"	22499
"Liver"	"21071"	"2011"	"2011"	23092
"Lung and Bronchus"	"22030"	"1999"	"1999"	176551
"Lung and Bronchus"	"22030"	"2000"	"2000"	182369
"Lung and Bronchus"	"22030"	"2001"	"2001"	183491
"Lung and Bronchus"	"22030"	"2002"	"2002"	187294
"Lung and Bronchus"	"22030"	"2003"	"2003"	200202
"Lung and Bronchus"	"22030"	"2004"	"2004"	206064
"Lung and Bronchus"	"22030"	"2005"	"2005"	210338
"Lung and Bronchus"	"22030"	"2006"	"2006"	211212
"Lung and Bronchus"	"22030"	"2007"	"2007"	212618
"Lung and Bronchus"	"22030"	"2008"	"2008"	215325
"Lung and Bronchus"	"22030"	"2009"	"2009"	215453
"Lung and Bronchus"	"22030"	"2010"	"2010"	211470
"Lung and Bronchus"	"22030"	"2011"	"2011"	207339
"Melanoma of the Skin"	"25010"	"1999"	"1999"	38290
"Melanoma of the Skin"	"25010"	"2000"	"2000"	42250
"Melanoma of the Skin"	"25010"	"2001"	"2001"	44824
"Melanoma of the Skin"	"25010"	"2002"	"2002"	47251
"Melanoma of the Skin"	"25010"	"2003"	"2003"	49369
"Melanoma of the Skin"	"25010"	"2004"	"2004"	53831
"Melanoma of the Skin"	"25010"	"2005"	"2005"	58279
"Melanoma of the Skin"	"25010"	"2006"	"2006"	58515
"Melanoma of the Skin"	"25010"	"2007"	"2007"	60841
"Melanoma of the Skin"	"25010"	"2008"	"2008"	62770
"Melanoma of the Skin"	"25010"	"2009"	"2009"	64880
"Melanoma of the Skin"	"25010"	"2010"	"2010"	64557
"Melanoma of the Skin"	"25010"	"2011"	"2011"	65647
"Myeloma"	"34000"	"1999"	"1999"	13989
"Myeloma"	"34000"	"2000"	"2000"	14994
"Myeloma"	"34000"	"2001"	"2001"	15233
"Myeloma"	"34000"	"2002"	"2002"	15742
"Myeloma"	"34000"	"2003"	"2003"	16837
"Myeloma"	"34000"	"2004"	"2004"	17908
"Myeloma"	"34000"	"2005"	"2005"	18132
"Myeloma"	"34000"	"2006"	"2006"	18300
"Myeloma"	"34000"	"2007"	"2007"	18491
"Myeloma"	"34000"	"2008"	"2008"	19423
"Myeloma"	"34000"	"2009"	"2009"	20171
"Myeloma"	"34000"	"2010"	"2010"	20527
"Myeloma"	"34000"	"2011"	"2011"	20696
"Non-Hodgkin Lymphoma"	"33041-33042"	"1999"	"1999"	48483
"Non-Hodgkin Lymphoma"	"33041-33042"	"2000"	"2000"	50004
"Non-Hodgkin Lymphoma"	"33041-33042"	"2001"	"2001"	50806
"Non-Hodgkin Lymphoma"	"33041-33042"	"2002"	"2002"	52464
"Non-Hodgkin Lymphoma"	"33041-33042"	"2003"	"2003"	56172
"Non-Hodgkin Lymphoma"	"33041-33042"	"2004"	"2004"	59132
"Non-Hodgkin Lymphoma"	"33041-33042"	"2005"	"2005"	59846
"Non-Hodgkin Lymphoma"	"33041-33042"	"2006"	"2006"	60134
"Non-Hodgkin Lymphoma"	"33041-33042"	"2007"	"2007"	61434
"Non-Hodgkin Lymphoma"	"33041-33042"	"2008"	"2008"	62391
"Non-Hodgkin Lymphoma"	"33041-33042"	"2009"	"2009"	63610
"Non-Hodgkin Lymphoma"	"33041-33042"	"2010"	"2010"	63717
"Non-Hodgkin Lymphoma"	"33041-33042"	"2011"	"2011"	62445
"Oral Cavity and Pharynx"	"20010-20100"	"1999"	"1999"	27087
"Oral Cavity and Pharynx"	"20010-20100"	"2000"	"2000"	28264
"Oral Cavity and Pharynx"	"20010-20100"	"2001"	"2001"	28263
"Oral Cavity and Pharynx"	"20010-20100"	"2002"	"2002"	29226
"Oral Cavity and Pharynx"	"20010-20100"	"2003"	"2003"	31364
"Oral Cavity and Pharynx"	"20010-20100"	"2004"	"2004"	32457
"Oral Cavity and Pharynx"	"20010-20100"	"2005"	"2005"	32962
"Oral Cavity and Pharynx"	"20010-20100"	"2006"	"2006"	33993
"Oral Cavity and Pharynx"	"20010-20100"	"2007"	"2007"	35617
"Oral Cavity and Pharynx"	"20010-20100"	"2008"	"2008"	37072
"Oral Cavity and Pharynx"	"20010-20100"	"2009"	"2009"	37592
"Oral Cavity and Pharynx"	"20010-20100"	"2010"	"2010"	38236
"Oral Cavity and Pharynx"	"20010-20100"	"2011"	"2011"	39152
"Ovary"	"27040"	"1999"	"1999"	19588
"Ovary"	"27040"	"2000"	"2000"	20532
"Ovary"	"27040"	"2001"	"2001"	20383
"Ovary"	"27040"	"2002"	"2002"	20296
"Ovary"	"27040"	"2003"	"2003"	21286
"Ovary"	"27040"	"2004"	"2004"	21320
"Ovary"	"27040"	"2005"	"2005"	21560
"Ovary"	"27040"	"2006"	"2006"	21678
"Ovary"	"27040"	"2007"	"2007"	21645
"Ovary"	"27040"	"2008"	"2008"	21898
"Ovary"	"27040"	"2009"	"2009"	21476
"Ovary"	"27040"	"2010"	"2010"	20929
"Ovary"	"27040"	"2011"	"2011"	20593
"Pancreas"	"21100"	"1999"	"1999"	27594
"Pancreas"	"21100"	"2000"	"2000"	29072
"Pancreas"	"21100"	"2001"	"2001"	29425
"Pancreas"	"21100"	"2002"	"2002"	30126
"Pancreas"	"21100"	"2003"	"2003"	32890
"Pancreas"	"21100"	"2004"	"2004"	34367
"Pancreas"	"21100"	"2005"	"2005"	35572
"Pancreas"	"21100"	"2006"	"2006"	36858
"Pancreas"	"21100"	"2007"	"2007"	37761
"Pancreas"	"21100"	"2008"	"2008"	39472
"Pancreas"	"21100"	"2009"	"2009"	39883
"Pancreas"	"21100"	"2010"	"2010"	40961
"Pancreas"	"21100"	"2011"	"2011"	41473
"Prostate"	"28010"	"1999"	"1999"	184722
"Prostate"	"28010"	"2000"	"2000"	194123
"Prostate"	"28010"	"2001"	"2001"	197674
"Prostate"	"28010"	"2002"	"2002"	203034
"Prostate"	"28010"	"2003"	"2003"	199363
"Prostate"	"28010"	"2004"	"2004"	201960
"Prostate"	"28010"	"2005"	"2005"	203481
"Prostate"	"28010"	"2006"	"2006"	222418
"Prostate"	"28010"	"2007"	"2007"	235946
"Prostate"	"28010"	"2008"	"2008"	224478
"Prostate"	"28010"	"2009"	"2009"	219299
"Prostate"	"28010"	"2010"	"2010"	209325
"Prostate"	"28010"	"2011"	"2011"	209292
"Stomach"	"21020"	"1999"	"1999"	19092
"Stomach"	"21020"	"2000"	"2000"	19410
"Stomach"	"21020"	"2001"	"2001"	19141
"Stomach"	"21020"	"2002"	"2002"	19623
"Stomach"	"21020"	"2003"	"2003"	20799
"Stomach"	"21020"	"2004"	"2004"	21066
"Stomach"	"21020"	"2005"	"2005"	20831
"Stomach"	"21020"	"2006"	"2006"	20918
"Stomach"	"21020"	"2007"	"2007"	21326
"Stomach"	"21020"	"2008"	"2008"	21184
"Stomach"	"21020"	"2009"	"2009"	21600
"Stomach"	"21020"	"2010"	"2010"	22493
"Stomach"	"21020"	"2011"	"2011"	22424
"Thyroid"	"32010"	"1999"	"1999"	17179
"Thyroid"	"32010"	"2000"	"2000"	19524
"Thyroid"	"32010"	"2001"	"2001"	20541
"Thyroid"	"32010"	"2002"	"2002"	22819
"Thyroid"	"32010"	"2003"	"2003"	25182
"Thyroid"	"32010"	"2004"	"2004"	28130
"Thyroid"	"32010"	"2005"	"2005"	30938
"Thyroid"	"32010"	"2006"	"2006"	33303
"Thyroid"	"32010"	"2007"	"2007"	36284
"Thyroid"	"32010"	"2008"	"2008"	39767
"Thyroid"	"32010"	"2009"	"2009"	42404
"Thyroid"	"32010"	"2010"	"2010"	43292
"Thyroid"	"32010"	"2011"	"2011"	44332
"Urinary Bladder, invasive and in situ"	"29010"	"1999"	"1999"	55174
"Urinary Bladder, invasive and in situ"	"29010"	"2000"	"2000"	57433
"Urinary Bladder, invasive and in situ"	"29010"	"2001"	"2001"	57317
"Urinary Bladder, invasive and in situ"	"29010"	"2002"	"2002"	58890
"Urinary Bladder, invasive and in situ"	"29010"	"2003"	"2003"	62442
"Urinary Bladder, invasive and in situ"	"29010"	"2004"	"2004"	65110
"Urinary Bladder, invasive and in situ"	"29010"	"2005"	"2005"	66137
"Urinary Bladder, invasive and in situ"	"29010"	"2006"	"2006"	65193
"Urinary Bladder, invasive and in situ"	"29010"	"2007"	"2007"	67040
"Urinary Bladder, invasive and in situ"	"29010"	"2008"	"2008"	67999
"Urinary Bladder, invasive and in situ"	"29010"	"2009"	"2009"	68862
"Urinary Bladder, invasive and in situ"	"29010"	"2010"	"2010"	68530
"Urinary Bladder, invasive and in situ"	"29010"	"2011"	"2011"	68070
